ns	v1	v2	v1p	v2p	1b	1c	1d	2a	2b	2c	2d	3a	3b	3c	3d	4a	4b	4c	4d
http://purl.org/dc/dcam/	Ontologies/dcterms_2008-01-14.n3	Ontologies/dcterms_2010-10-11.n3	Ontologies/dcam_2008-01-14.n3	Ontologies/dcam_2010-10-11.n3	[]	[]	[]	[]	[]	[]	[]	[[http://purl.org/dc/dcam/, http://purl.org/dc/dcam/memberOf]]	[]	[[http://purl.org/dc/dcam/VocabularyEncodingScheme]]	[]	[]	[]	[]	[]
http://purl.org/dc/dcam/	Ontologies/dcterms_2010-10-11.n3	Ontologies/dcterms_2012-06-14.n3	Ontologies/dcam_2010-10-11.n3	Ontologies/dcam_2012-06-14.n3	[]	[]	[]	[]	[]	[]	[]	[[http://purl.org/dc/dcam/, http://purl.org/dc/dcam/memberOf]]	[]	[[http://purl.org/dc/dcam/VocabularyEncodingScheme]]	[]	[]	[]	[]	[]
http://purl.org/dc/elements/1.1/	Ontologies/foaf_2010-08-09.n3	Ontologies/foaf_2014-01-14.n3	Ontologies/dce_2008-01-14.n3	Ontologies/dce_2012-06-14.n3	[]	[]	[]	[]	[]	[]	[]	[[http://purl.org/dc/elements/1.1/language, http://purl.org/dc/elements/1.1/relation, http://purl.org/dc/elements/1.1/subject, http://purl.org/dc/elements/1.1/rights, http://purl.org/dc/elements/1.1/format, http://purl.org/dc/elements/1.1/coverage, http://purl.org/dc/elements/1.1/type, http://purl.org/dc/elements/1.1/creator, http://purl.org/dc/elements/1.1/, http://purl.org/dc/elements/1.1/identifier, http://purl.org/dc/elements/1.1/contributor, http://purl.org/dc/elements/1.1/source, http://purl.org/dc/elements/1.1/publisher]]	[]	[[http://purl.org/dc/elements/1.1/title, http://purl.org/dc/elements/1.1/description, http://purl.org/dc/elements/1.1/date]]	[]	[]	[]	[]	[]
http://purl.org/dc/dcam/	Ontologies/dce_2008-01-14.n3	Ontologies/dce_2010-10-11.n3	Ontologies/dcam_2008-01-14.n3	Ontologies/dcam_2010-10-11.n3	[]	[]	[]	[]	[]	[]	[]	[[http://purl.org/dc/dcam/VocabularyEncodingScheme, http://purl.org/dc/dcam/, http://purl.org/dc/dcam/memberOf]]	[]	[]	[]	[]	[]	[]	[]
http://purl.org/dc/terms/	Ontologies/dce_2008-01-14.n3	Ontologies/dce_2010-10-11.n3	Ontologies/dcterms_2008-01-14.n3	Ontologies/dcterms_2010-10-11.n3	[]	[]	[]	[[http://purl.org/dc/terms/Collection]]	[]	[]	[]	[[http://purl.org/dc/terms/RFC3066, http://purl.org/dc/terms/accrualPolicy, http://purl.org/dc/terms/isPartOf, http://purl.org/dc/terms/spatial, http://purl.org/dc/terms/MediaType, http://purl.org/dc/terms/W3CDTF, http://purl.org/dc/terms/relation, http://purl.org/dc/terms/creator, http://purl.org/dc/terms/type, http://purl.org/dc/terms/isVersionOf, http://purl.org/dc/terms/DDC, http://purl.org/dc/terms/PhysicalMedium, http://purl.org/dc/terms/LocationPeriodOrJurisdiction, http://purl.org/dc/terms/ProvenanceStatement, http://purl.org/dc/terms/abstract, http://purl.org/dc/terms/audience, http://purl.org/dc/terms/rightsHolder, http://purl.org/dc/terms/IMT, http://purl.org/dc/terms/medium, http://purl.org/dc/terms/PhysicalResource, http://purl.org/dc/terms/isReferencedBy, http://purl.org/dc/terms/RFC4646, http://purl.org/dc/terms/Point, http://purl.org/dc/terms/MethodOfAccrual, http://purl.org/dc/terms/temporal, http://purl.org/dc/terms/Jurisdiction, http://purl.org/dc/terms/ISO639-2, http://purl.org/dc/terms/ISO639-3, http://purl.org/dc/terms/LicenseDocument, http://purl.org/dc/terms/identifier, http://purl.org/dc/terms/BibliographicResource, http://purl.org/dc/terms/Box, http://purl.org/dc/terms/hasFormat, http://purl.org/dc/terms/language, http://purl.org/dc/terms/Frequency, http://purl.org/dc/terms/LCC, http://purl.org/dc/terms/format, http://purl.org/dc/terms/provenance, http://purl.org/dc/terms/accrualMethod, http://purl.org/dc/terms/LCSH, http://purl.org/dc/terms/UDC, http://purl.org/dc/terms/extent, http://purl.org/dc/terms/references, http://purl.org/dc/terms/PeriodOfTime, http://purl.org/dc/terms/requires, http://purl.org/dc/terms/rights, http://purl.org/dc/terms/available, http://purl.org/dc/terms/source, http://purl.org/dc/terms/mediator, http://purl.org/dc/terms/Policy, http://purl.org/dc/terms/accessRights, http://purl.org/dc/terms/, http://purl.org/dc/terms/DCMIType, http://purl.org/dc/terms/Period, http://purl.org/dc/terms/RightsStatement, http://purl.org/dc/terms/subject, http://purl.org/dc/terms/MESH, http://purl.org/dc/terms/MethodOfInstruction, http://purl.org/dc/terms/conformsTo, http://purl.org/dc/terms/LinguisticSystem, http://purl.org/dc/terms/Standard, http://purl.org/dc/terms/valid, http://purl.org/dc/terms/isReplacedBy, http://purl.org/dc/terms/dateCopyrighted, http://purl.org/dc/terms/isRequiredBy, http://purl.org/dc/terms/Agent, http://purl.org/dc/terms/AgentClass, http://purl.org/dc/terms/Location, http://purl.org/dc/terms/RFC1766, http://purl.org/dc/terms/coverage, http://purl.org/dc/terms/replaces, http://purl.org/dc/terms/isFormatOf, http://purl.org/dc/terms/date, http://purl.org/dc/terms/NLM, http://purl.org/dc/terms/MediaTypeOrExtent, http://purl.org/dc/terms/URI, http://purl.org/dc/terms/FileFormat, http://purl.org/dc/terms/educationLevel, http://purl.org/dc/terms/bibliographicCitation, http://purl.org/dc/terms/SizeOrDuration, http://purl.org/dc/terms/TGN, http://purl.org/dc/terms/dateSubmitted, http://purl.org/dc/terms/instructionalMethod, http://purl.org/dc/terms/license, http://purl.org/dc/terms/accrualPeriodicity, http://purl.org/dc/terms/ISO3166, http://purl.org/dc/terms/alternative, http://purl.org/dc/terms/hasPart, http://purl.org/dc/terms/created, http://purl.org/dc/terms/contributor, http://purl.org/dc/terms/tableOfContents, http://purl.org/dc/terms/dateAccepted]]	[]	[[http://purl.org/dc/terms/hasVersion, http://purl.org/dc/terms/issued, http://purl.org/dc/terms/modified, http://purl.org/dc/terms/title, http://purl.org/dc/terms/description, http://purl.org/dc/terms/publisher]]	[]	[[http://purl.org/dc/terms/RFC5646]]	[]	[]	[]
http://purl.org/dc/terms/	Ontologies/dce_2010-10-11.n3	Ontologies/dce_2012-06-14.n3	Ontologies/dcterms_2010-10-11.n3	Ontologies/dcterms_2012-06-14.n3	[]	[]	[]	[]	[]	[]	[]	[[http://purl.org/dc/terms/RFC3066, http://purl.org/dc/terms/accrualPolicy, http://purl.org/dc/terms/isPartOf, http://purl.org/dc/terms/spatial, http://purl.org/dc/terms/MediaType, http://purl.org/dc/terms/W3CDTF, http://purl.org/dc/terms/relation, http://purl.org/dc/terms/creator, http://purl.org/dc/terms/type, http://purl.org/dc/terms/RFC5646, http://purl.org/dc/terms/isVersionOf, http://purl.org/dc/terms/DDC, http://purl.org/dc/terms/PhysicalMedium, http://purl.org/dc/terms/LocationPeriodOrJurisdiction, http://purl.org/dc/terms/ProvenanceStatement, http://purl.org/dc/terms/abstract, http://purl.org/dc/terms/audience, http://purl.org/dc/terms/rightsHolder, http://purl.org/dc/terms/IMT, http://purl.org/dc/terms/medium, http://purl.org/dc/terms/PhysicalResource, http://purl.org/dc/terms/isReferencedBy, http://purl.org/dc/terms/RFC4646, http://purl.org/dc/terms/Point, http://purl.org/dc/terms/MethodOfAccrual, http://purl.org/dc/terms/temporal, http://purl.org/dc/terms/Jurisdiction, http://purl.org/dc/terms/ISO639-2, http://purl.org/dc/terms/ISO639-3, http://purl.org/dc/terms/LicenseDocument, http://purl.org/dc/terms/identifier, http://purl.org/dc/terms/BibliographicResource, http://purl.org/dc/terms/Box, http://purl.org/dc/terms/hasFormat, http://purl.org/dc/terms/language, http://purl.org/dc/terms/Frequency, http://purl.org/dc/terms/LCC, http://purl.org/dc/terms/format, http://purl.org/dc/terms/provenance, http://purl.org/dc/terms/accrualMethod, http://purl.org/dc/terms/LCSH, http://purl.org/dc/terms/UDC, http://purl.org/dc/terms/extent, http://purl.org/dc/terms/references, http://purl.org/dc/terms/PeriodOfTime, http://purl.org/dc/terms/requires, http://purl.org/dc/terms/rights, http://purl.org/dc/terms/available, http://purl.org/dc/terms/source, http://purl.org/dc/terms/mediator, http://purl.org/dc/terms/Policy, http://purl.org/dc/terms/accessRights, http://purl.org/dc/terms/, http://purl.org/dc/terms/DCMIType, http://purl.org/dc/terms/Period, http://purl.org/dc/terms/RightsStatement, http://purl.org/dc/terms/subject, http://purl.org/dc/terms/MESH, http://purl.org/dc/terms/MethodOfInstruction, http://purl.org/dc/terms/conformsTo, http://purl.org/dc/terms/LinguisticSystem, http://purl.org/dc/terms/Standard, http://purl.org/dc/terms/valid, http://purl.org/dc/terms/isReplacedBy, http://purl.org/dc/terms/dateCopyrighted, http://purl.org/dc/terms/isRequiredBy, http://purl.org/dc/terms/Agent, http://purl.org/dc/terms/AgentClass, http://purl.org/dc/terms/Location, http://purl.org/dc/terms/RFC1766, http://purl.org/dc/terms/coverage, http://purl.org/dc/terms/replaces, http://purl.org/dc/terms/isFormatOf, http://purl.org/dc/terms/date, http://purl.org/dc/terms/NLM, http://purl.org/dc/terms/MediaTypeOrExtent, http://purl.org/dc/terms/URI, http://purl.org/dc/terms/FileFormat, http://purl.org/dc/terms/educationLevel, http://purl.org/dc/terms/bibliographicCitation, http://purl.org/dc/terms/SizeOrDuration, http://purl.org/dc/terms/TGN, http://purl.org/dc/terms/dateSubmitted, http://purl.org/dc/terms/instructionalMethod, http://purl.org/dc/terms/license, http://purl.org/dc/terms/accrualPeriodicity, http://purl.org/dc/terms/ISO3166, http://purl.org/dc/terms/alternative, http://purl.org/dc/terms/hasPart, http://purl.org/dc/terms/created, http://purl.org/dc/terms/contributor, http://purl.org/dc/terms/tableOfContents, http://purl.org/dc/terms/dateAccepted]]	[]	[[http://purl.org/dc/terms/hasVersion, http://purl.org/dc/terms/issued, http://purl.org/dc/terms/modified, http://purl.org/dc/terms/title, http://purl.org/dc/terms/description, http://purl.org/dc/terms/publisher]]	[]	[]	[]	[]	[]
http://purl.org/dc/dcam/	Ontologies/dce_2010-10-11.n3	Ontologies/dce_2012-06-14.n3	Ontologies/dcam_2010-10-11.n3	Ontologies/dcam_2012-06-14.n3	[]	[]	[]	[]	[]	[]	[]	[[http://purl.org/dc/dcam/VocabularyEncodingScheme, http://purl.org/dc/dcam/, http://purl.org/dc/dcam/memberOf]]	[]	[]	[]	[]	[]	[]	[]
http://purl.org/dc/terms/	Ontologies/qb_2010-11-27.n3	Ontologies/qb_2013-03-02.n3	Ontologies/dcterms_2010-10-11.n3	Ontologies/dcterms_2012-06-14.n3	[]	[]	[]	[]	[]	[]	[]	[[http://purl.org/dc/terms/RFC3066, http://purl.org/dc/terms/accrualPolicy, http://purl.org/dc/terms/isPartOf, http://purl.org/dc/terms/spatial, http://purl.org/dc/terms/MediaType, http://purl.org/dc/terms/W3CDTF, http://purl.org/dc/terms/relation, http://purl.org/dc/terms/creator, http://purl.org/dc/terms/type, http://purl.org/dc/terms/RFC5646, http://purl.org/dc/terms/isVersionOf, http://purl.org/dc/terms/DDC, http://purl.org/dc/terms/PhysicalMedium, http://purl.org/dc/terms/LocationPeriodOrJurisdiction, http://purl.org/dc/terms/ProvenanceStatement, http://purl.org/dc/terms/abstract, http://purl.org/dc/terms/audience, http://purl.org/dc/terms/rightsHolder, http://purl.org/dc/terms/IMT, http://purl.org/dc/terms/medium, http://purl.org/dc/terms/PhysicalResource, http://purl.org/dc/terms/isReferencedBy, http://purl.org/dc/terms/RFC4646, http://purl.org/dc/terms/Point, http://purl.org/dc/terms/MethodOfAccrual, http://purl.org/dc/terms/temporal, http://purl.org/dc/terms/Jurisdiction, http://purl.org/dc/terms/ISO639-2, http://purl.org/dc/terms/ISO639-3, http://purl.org/dc/terms/LicenseDocument, http://purl.org/dc/terms/identifier, http://purl.org/dc/terms/BibliographicResource, http://purl.org/dc/terms/Box, http://purl.org/dc/terms/hasFormat, http://purl.org/dc/terms/language, http://purl.org/dc/terms/Frequency, http://purl.org/dc/terms/LCC, http://purl.org/dc/terms/format, http://purl.org/dc/terms/issued, http://purl.org/dc/terms/provenance, http://purl.org/dc/terms/accrualMethod, http://purl.org/dc/terms/LCSH, http://purl.org/dc/terms/UDC, http://purl.org/dc/terms/extent, http://purl.org/dc/terms/references, http://purl.org/dc/terms/PeriodOfTime, http://purl.org/dc/terms/requires, http://purl.org/dc/terms/rights, http://purl.org/dc/terms/hasVersion, http://purl.org/dc/terms/available, http://purl.org/dc/terms/source, http://purl.org/dc/terms/mediator, http://purl.org/dc/terms/Policy, http://purl.org/dc/terms/accessRights, http://purl.org/dc/terms/description, http://purl.org/dc/terms/, http://purl.org/dc/terms/DCMIType, http://purl.org/dc/terms/Period, http://purl.org/dc/terms/RightsStatement, http://purl.org/dc/terms/subject, http://purl.org/dc/terms/MESH, http://purl.org/dc/terms/MethodOfInstruction, http://purl.org/dc/terms/conformsTo, http://purl.org/dc/terms/LinguisticSystem, http://purl.org/dc/terms/Standard, http://purl.org/dc/terms/valid, http://purl.org/dc/terms/isReplacedBy, http://purl.org/dc/terms/publisher, http://purl.org/dc/terms/dateCopyrighted, http://purl.org/dc/terms/isRequiredBy, http://purl.org/dc/terms/Agent, http://purl.org/dc/terms/AgentClass, http://purl.org/dc/terms/Location, http://purl.org/dc/terms/RFC1766, http://purl.org/dc/terms/coverage, http://purl.org/dc/terms/replaces, http://purl.org/dc/terms/isFormatOf, http://purl.org/dc/terms/date, http://purl.org/dc/terms/NLM, http://purl.org/dc/terms/MediaTypeOrExtent, http://purl.org/dc/terms/URI, http://purl.org/dc/terms/FileFormat, http://purl.org/dc/terms/educationLevel, http://purl.org/dc/terms/bibliographicCitation, http://purl.org/dc/terms/SizeOrDuration, http://purl.org/dc/terms/TGN, http://purl.org/dc/terms/dateSubmitted, http://purl.org/dc/terms/instructionalMethod, http://purl.org/dc/terms/accrualPeriodicity, http://purl.org/dc/terms/ISO3166, http://purl.org/dc/terms/alternative, http://purl.org/dc/terms/hasPart, http://purl.org/dc/terms/tableOfContents, http://purl.org/dc/terms/dateAccepted]]	[]	[[http://purl.org/dc/terms/license, http://purl.org/dc/terms/created, http://purl.org/dc/terms/modified, http://purl.org/dc/terms/contributor, http://purl.org/dc/terms/title]]	[]	[]	[]	[]	[]
http://xmlns.com/foaf/0.1/	Ontologies/qb_2013-07-26.n3	Ontologies/qb_2014-07-31.n3	Ontologies/foaf_2010-08-09.n3	Ontologies/foaf_2014-01-14.n3	[]	[]	[]	[]	[]	[]	[]	[[http://xmlns.com/foaf/0.1/name, http://xmlns.com/foaf/0.1/page, http://xmlns.com/foaf/0.1/OnlineChatAccount, http://xmlns.com/foaf/0.1/openid, http://xmlns.com/foaf/0.1/sha1, http://xmlns.com/foaf/0.1/dnaChecksum, http://xmlns.com/foaf/0.1/tipjar, http://xmlns.com/foaf/0.1/publications, http://xmlns.com/foaf/0.1/title, http://xmlns.com/foaf/0.1/pastProject, http://xmlns.com/foaf/0.1/PersonalProfileDocument, http://xmlns.com/foaf/0.1/firstName, http://xmlns.com/foaf/0.1/surname, http://xmlns.com/foaf/0.1/topic_interest, http://xmlns.com/foaf/0.1/LabelProperty, http://xmlns.com/foaf/0.1/Document, http://xmlns.com/foaf/0.1/fundedBy, http://xmlns.com/foaf/0.1/OnlineEcommerceAccount, http://xmlns.com/foaf/0.1/based_near, http://xmlns.com/foaf/0.1/account, http://xmlns.com/foaf/0.1/gender, http://xmlns.com/foaf/0.1/img, http://xmlns.com/foaf/0.1/jabberID, http://xmlns.com/foaf/0.1/Group, http://xmlns.com/foaf/0.1/nick, http://xmlns.com/foaf/0.1/status, http://xmlns.com/foaf/0.1/workInfoHomepage, http://xmlns.com/foaf/0.1/icqChatID, http://xmlns.com/foaf/0.1/OnlineGamingAccount, http://xmlns.com/foaf/0.1/homepage, http://xmlns.com/foaf/0.1/Person, http://xmlns.com/foaf/0.1/weblog, http://xmlns.com/foaf/0.1/interest, http://xmlns.com/foaf/0.1/workplaceHomepage, http://xmlns.com/foaf/0.1/phone, http://xmlns.com/foaf/0.1/Organization, http://xmlns.com/foaf/0.1/msnChatID, http://xmlns.com/foaf/0.1/schoolHomepage, http://xmlns.com/foaf/0.1/maker, http://xmlns.com/foaf/0.1/Image, http://xmlns.com/foaf/0.1/holdsAccount, http://xmlns.com/foaf/0.1/accountServiceHomepage, http://xmlns.com/foaf/0.1/yahooChatID, http://xmlns.com/foaf/0.1/isPrimaryTopicOf, http://xmlns.com/foaf/0.1/thumbnail, http://xmlns.com/foaf/0.1/OnlineAccount, http://xmlns.com/foaf/0.1/Agent, http://xmlns.com/foaf/0.1/myersBriggs, http://xmlns.com/foaf/0.1/familyName, http://xmlns.com/foaf/0.1/focus, http://xmlns.com/foaf/0.1/primaryTopic, http://xmlns.com/foaf/0.1/member, http://xmlns.com/foaf/0.1/knows, http://xmlns.com/foaf/0.1/logo, http://xmlns.com/foaf/0.1/aimChatID, http://xmlns.com/foaf/0.1/theme, http://xmlns.com/foaf/0.1/Project, http://xmlns.com/foaf/0.1/givenName, http://xmlns.com/foaf/0.1/plan, http://xmlns.com/foaf/0.1/geekcode, http://xmlns.com/foaf/0.1/family_name, http://xmlns.com/foaf/0.1/depiction, http://xmlns.com/foaf/0.1/made, http://xmlns.com/foaf/0.1/currentProject, http://xmlns.com/foaf/0.1/skypeID, http://xmlns.com/foaf/0.1/mbox_sha1sum, http://xmlns.com/foaf/0.1/lastName, http://xmlns.com/foaf/0.1/accountName, http://xmlns.com/foaf/0.1/birthday, http://xmlns.com/foaf/0.1/givenname, http://xmlns.com/foaf/0.1/age, http://xmlns.com/foaf/0.1/, http://xmlns.com/foaf/0.1/membershipClass, http://xmlns.com/foaf/0.1/depicts, http://xmlns.com/foaf/0.1/topic]]	[]	[[http://xmlns.com/foaf/0.1/mbox]]	[]	[]	[]	[]	[]
http://purl.org/dc/terms/	Ontologies/osspr_2010-04-01.n3	Ontologies/osspr_2013-09-04.n3	Ontologies/dcterms_2008-01-14.n3	Ontologies/dcterms_2012-06-14.n3	[]	[]	[]	[[http://purl.org/dc/terms/Collection]]	[]	[]	[]	[[http://purl.org/dc/terms/RFC3066, http://purl.org/dc/terms/accrualPolicy, http://purl.org/dc/terms/isPartOf, http://purl.org/dc/terms/spatial, http://purl.org/dc/terms/MediaType, http://purl.org/dc/terms/W3CDTF, http://purl.org/dc/terms/relation, http://purl.org/dc/terms/type, http://purl.org/dc/terms/isVersionOf, http://purl.org/dc/terms/DDC, http://purl.org/dc/terms/PhysicalMedium, http://purl.org/dc/terms/LocationPeriodOrJurisdiction, http://purl.org/dc/terms/ProvenanceStatement, http://purl.org/dc/terms/abstract, http://purl.org/dc/terms/audience, http://purl.org/dc/terms/rightsHolder, http://purl.org/dc/terms/IMT, http://purl.org/dc/terms/medium, http://purl.org/dc/terms/PhysicalResource, http://purl.org/dc/terms/isReferencedBy, http://purl.org/dc/terms/modified, http://purl.org/dc/terms/RFC4646, http://purl.org/dc/terms/Point, http://purl.org/dc/terms/MethodOfAccrual, http://purl.org/dc/terms/temporal, http://purl.org/dc/terms/Jurisdiction, http://purl.org/dc/terms/ISO639-2, http://purl.org/dc/terms/ISO639-3, http://purl.org/dc/terms/LicenseDocument, http://purl.org/dc/terms/identifier, http://purl.org/dc/terms/BibliographicResource, http://purl.org/dc/terms/Box, http://purl.org/dc/terms/hasFormat, http://purl.org/dc/terms/language, http://purl.org/dc/terms/Frequency, http://purl.org/dc/terms/LCC, http://purl.org/dc/terms/format, http://purl.org/dc/terms/issued, http://purl.org/dc/terms/provenance, http://purl.org/dc/terms/accrualMethod, http://purl.org/dc/terms/LCSH, http://purl.org/dc/terms/UDC, http://purl.org/dc/terms/extent, http://purl.org/dc/terms/references, http://purl.org/dc/terms/title, http://purl.org/dc/terms/PeriodOfTime, http://purl.org/dc/terms/requires, http://purl.org/dc/terms/rights, http://purl.org/dc/terms/hasVersion, http://purl.org/dc/terms/available, http://purl.org/dc/terms/source, http://purl.org/dc/terms/mediator, http://purl.org/dc/terms/Policy, http://purl.org/dc/terms/accessRights, http://purl.org/dc/terms/description, http://purl.org/dc/terms/, http://purl.org/dc/terms/DCMIType, http://purl.org/dc/terms/Period, http://purl.org/dc/terms/RightsStatement, http://purl.org/dc/terms/subject, http://purl.org/dc/terms/MESH, http://purl.org/dc/terms/MethodOfInstruction, http://purl.org/dc/terms/conformsTo, http://purl.org/dc/terms/LinguisticSystem, http://purl.org/dc/terms/Standard, http://purl.org/dc/terms/valid, http://purl.org/dc/terms/isReplacedBy, http://purl.org/dc/terms/dateCopyrighted, http://purl.org/dc/terms/isRequiredBy, http://purl.org/dc/terms/Agent, http://purl.org/dc/terms/AgentClass, http://purl.org/dc/terms/Location, http://purl.org/dc/terms/RFC1766, http://purl.org/dc/terms/coverage, http://purl.org/dc/terms/replaces, http://purl.org/dc/terms/isFormatOf, http://purl.org/dc/terms/date, http://purl.org/dc/terms/NLM, http://purl.org/dc/terms/MediaTypeOrExtent, http://purl.org/dc/terms/URI, http://purl.org/dc/terms/FileFormat, http://purl.org/dc/terms/educationLevel, http://purl.org/dc/terms/bibliographicCitation, http://purl.org/dc/terms/SizeOrDuration, http://purl.org/dc/terms/TGN, http://purl.org/dc/terms/dateSubmitted, http://purl.org/dc/terms/instructionalMethod, http://purl.org/dc/terms/license, http://purl.org/dc/terms/accrualPeriodicity, http://purl.org/dc/terms/ISO3166, http://purl.org/dc/terms/alternative, http://purl.org/dc/terms/hasPart, http://purl.org/dc/terms/created, http://purl.org/dc/terms/contributor, http://purl.org/dc/terms/tableOfContents, http://purl.org/dc/terms/dateAccepted]]	[]	[[http://purl.org/dc/terms/creator, http://purl.org/dc/terms/publisher]]	[]	[[http://purl.org/dc/terms/RFC5646]]	[]	[]	[]
